recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Individuals,332418,49891,948332,58708,Germany,2016,0,0,0,0.07855342242869606,0.13407398830430192,0.149906719236401,889624,0.1406334499714267
Corporations,24205,235239,21954872,5759695,Germany,2016,0,0,0,0.034548025663224506,0.06062853743378641,0.05615475094016578,16195177,0.08287984896063613
Individuals,57259,36321,182439,34349,Hong Kong,2016,1,0,0,0.04596020145471283,0.025792996916953703,0.025821432162990827,148090,0.023410348199091505
Corporations,4444,117389,1445907,1080817,Hong Kong,2016,1,0,0,0.006482998397180636,0.003992882612810214,0.010309924113947396,365090,0.001868371309374306
Individuals,227513,8345,117024,5062,Ireland,2016,0,0,0,0.006773138658003329,0.016544706292018648,0.10259891887211674,111962,0.017699165406622207
Corporations,16210,909233,24360343,16782214,Ireland,2016,0,0,0,0.1006637261101023,0.06727126295591142,0.037606631387733416,7578129,0.03878155743059903
Individuals,1979,548,6544,695,Luxembourg,2016,0,0,0,9.299350784891967e-4,9.251825093567988e-4,8.924468511597976e-4,5849,9.246210184110082e-4
Corporations,18523,1304070,40009141,30447299,Luxembourg,2016,0,0,0,0.18263016830368098,0.11048553153997612,0.04297271025262098,9561842,0.04893333495184813
Individuals,228225,187774,970848,133031,Mexico,2016,0,0,0,0.1780002783115055,0.13725727213386757,0.10292000131679879,837817,0.13244370110823314
Corporations,6838,111972,6185168,331757,Mexico,2016,0,0,0,0.00198995768872386,0.017080386058377285,0.01586392013752752,5853411,0.029955203304324867
Individuals,437866,135117,1631207,129574,United Kingdom,2016,0,0,0,0.17337468756857435,0.2306179990128936,0.1974593900606043,1501633,0.23738099397154683
Corporations,44205,538564,120217147,30581068,United Kingdom,2016,0,0,0,0.1834325467013121,0.331980518814799,0.10255404938277334,89636079,0.4587183387340347
Individuals,164114,40060,284571,12740,Australia,2017,0,0,0,0.014972382183570337,0.03459010138509428,0.0721087664213596,271831,0.03685319877891267
Corporations,17783,307036,5827157,2706460,Australia,2017,0,0,0,0.0139540135940138,0.016863787903565335,0.03772212099164017,3120697,0.020586847835499692
Individuals,5679,3934,140067,120336,Bermuda,2017,1,0,0,0.14142202373956986,0.017025388148145807,0.0024952513771335848,19731,0.002675009344433585
Corporations,11259,282487,9212928,7937382,Bermuda,2017,1,0,0,0.04092369232461608,0.026662206589391425,0.023883110849962134,1275546,0.008414617442571416
Individuals,1443,905,17258,13439,British Virgin Islands,2017,1,0,0,0.01579386531907392,0.0020977400005761553,6.340284798738797e-4,3819,5.17756864142307e-4
Corporations,95743,360221,4038895,2497885,British Virgin Islands,2017,1,0,0,0.012878638977218639,0.011688559042560637,0.2030944739415512,1541010,0.010165850251717286
Individuals,555439,166454,2136238,50923,Canada,2017,0,0,0,0.05984604536373252,0.25966345482389647,0.24404999641903527,2085315,0.2827143637467701
Corporations,66813,535323,32362726,13373266,Canada,2017,0,0,0,0.06895011770370245,0.09365770430506667,0.14172682167319656,18989460,0.12527109280340515
