recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Corporations,5047,195599,7198791,6046590,Taiwan,2017,0,0,0,0.022488961799672157,0.013835784082713506,0.007436757355714824,1152201,0.004582534802545798
Individuals,24237,7063,50168,4039,Thailand,2017,0,0,0,0.0021922337716896267,0.003506262986078316,0.005965999929600364,46129,0.003700474694638038
Corporations,601,16065,148347,109624,Thailand,2017,0,0,0,4.077223605912193e-4,2.8511691217571124e-4,8.855738400603546e-4,38723,1.5400914871535517e-4
Individuals,6265,2067,14130,3306,Trinidad and Tobago,2017,0,0,0,0.001794385949295842,9.87551745999175e-4,0.0015421458744459414,10824,8.683027617065647e-4
Corporations,944,4672,88358,68762,Trinidad and Tobago,2017,0,0,0,2.5574513755175345e-4,1.6982048929888366e-4,0.001390984534138061,19596,7.793722795821864e-5
Individuals,13861,4919,40186,3406,Turkey,2017,0,0,0,0.0018486625962799872,0.002808616734941461,0.003411920824532353,36780,0.0029504966348454778
Corporations,604,5285,59552,29347,Turkey,2017,0,0,0,1.0914971280258441e-4,1.1445652661589353e-4,8.899943417578272e-4,30205,1.2013135183088354e-4
Individuals,13400,7097,43352,12654,United Arab Emirates,2017,0,0,0,0.00686816690937374,0.003029889829621814,0.0032984444880408002,30698,0.0024625977622753253
Corporations,1401,17225,256918,93565,United Arab Emirates,2017,0,0,0,3.4799444162516815e-4,4.93785966971758e-4,0.0020643742927197286,163353,6.496876912971467e-4
Individuals,428778,182357,1802876,141934,United Kingdom,2017,0,0,0,0.07703701613047671,0.12600377506157173,0.10554480826068345,1660942,0.13324099460776284
Corporations,60175,463757,81898833,33899355,United Kingdom,2017,0,0,0,0.12608119611690646,0.15740623252074018,0.08866789654847228,47999478,0.19090356495006633
Individuals,13015,3159,47575,33847,Uruguay,2017,0,0,0,0.01837101670472364,0.003325037106575424,0.003203675747153061,13728,0.0011012620392375943
